Player,Team,year,Role,Player Origin,Amount,runs,balls_faced,wickets,balls_bowled,runs_conceded,economy,performance,expected_performance,value_residual,z,price_type
Aaron Finch,Sunrisers Hyderabad,2014,Batsman,Overseas,40000000.0,309.0,268.0,0.0,0.0,0.0,,1.6544719895415247,0.4758285163126805,1.1786434732288442,0.976646687108808,Auction
Aaron Finch,Mumbai Indians,2015,Batsman,Overseas,32000000.0,23.0,33.0,0.0,0.0,0.0,,-0.497240773016899,0.4013171839028704,-0.8985579569197695,-0.7445624327744123,Auction
Aaron Finch,Gujarat Lions,2016,Batsman,Overseas,10000000.0,393.0,311.0,0.0,0.0,0.0,,2.2864435701530894,0.012921838746182246,2.273521731406907,1.8838839033873993,Auction
Aaron Finch,Kings XI Punjab,2018,Batsman,Overseas,62000000.0,134.0,102.0,0.0,0.0,0.0,,0.3378645299340976,0.6221691057965701,-0.28430457586247254,-0.23558024835559996,Auction
Aaron Finch,Royal Challengers Bangalore,2020,Batsman,Overseas,44000000.0,268.0,254.0,0.0,0.0,0.0,,1.346009670433499,0.5076541659790648,0.8383555044544342,0.6946775209316277,Auction
Abdul Samad,Sunrisers Hyderabad,2020,All-Rounder,Indian,2000000.0,113.0,68.0,1.0,43.0,96.0,13.395348837209301,-0.8962349462287662,-0.5244961712301279,-0.3717387749986383,-0.30802991007766367,Auction
Abhishek Nayar,Pune Warriors India,2013,All-Rounder,Indian,50625000.0,66.0,74.0,2.0,50.0,59.0,7.079999999999999,-0.8861415725640646,0.5544879341658246,-1.440629506729889,-1.1937333613230492,Auction
Abhishek Nayar,Rajasthan Royals,2014,All-Rounder,Indian,10000000.0,43.0,50.0,0.0,0.0,0.0,,-0.3467713490617645,0.012921838746182246,-0.35969318780794673,-0.29804870448727305,Auction
Abhishek Sharma,Delhi Daredevils,2018,All-Rounder,Indian,5500000.0,63.0,35.0,0.0,0.0,0.0,,-0.19630192510662994,-0.186705850370684,-0.009596074735945953,-0.00795149238338849,Auction
Ankit Sharma,Rajasthan Royals,2018,All-Rounder,Indian,2000000.0,63.0,35.0,0.0,0.0,0.0,,-0.19630192510662994,-0.5244961712301279,0.328194246123498,0.27194807461717785,Auction
Karn Sharma,Chennai Super Kings,2018,Bowler,Indian,50000000.0,0.0,0.0,4.0,58.0,89.0,9.206896551724139,-1.3334432875004139,0.5503398487224915,-1.8837831362229054,-1.5609389955586068,Auction
Kshitiz Sharma,Chennai Super Kings,2018,All-Rounder,Indian,2000000.0,0.0,0.0,4.0,58.0,89.0,9.206896551724139,-1.3334432875004139,-0.5244961712301279,-0.8089471162702859,-0.6703091639639541,Auction
Mohit Sharma,Kings XI Punjab,2018,Bowler,Indian,24000000.0,10.0,14.0,7.0,186.0,322.0,10.387096774193548,-1.2538505454718771,0.30525536897453076,-1.559105914446408,-1.2919051950667246,Auction
Sandeep Sharma,Sunrisers Hyderabad,2018,Bowler,Indian,30000000.0,0.0,4.0,12.0,273.0,333.0,7.318681318681318,0.3299290440538858,0.3797667013843409,-0.04983765733045509,-0.04129644292833755,Auction
Abhishek Sharma,Sunrisers Hyderabad,2022,All-Rounder,Indian,65000000.0,426.0,329.0,0.0,24.0,38.0,9.5,2.5347181196790616,0.6379476276928342,1.8967704919862274,1.5717005687303527,Auction
Ashok Sharma,Kolkata Knight Riders,2022,Bowler,Indian,5500000.0,426.0,329.0,0.0,24.0,38.0,9.5,2.5347181196790616,-0.186705850370684,2.7214239700497456,2.255024326640915,Auction
Jitesh Sharma,Punjab Kings,2022,Wicket Keeper,Indian,2000000.0,234.0,149.0,0.0,0.0,0.0,,1.0902116497097702,-0.5244961712301279,1.6147078209398982,1.3379780058930892,Auction
Sandeep Sharma,Punjab Kings,2022,Bowler,Indian,5000000.0,0.0,0.0,2.0,126.0,153.0,7.285714285714286,-1.397897494750194,-0.21853150003706734,-1.1793659947131268,-0.9772453823292172,Auction
Abu Nechim Ahmed,Royal Challengers Bangalore,2014,Bowler,Indian,3000000.0,4.0,1.0,3.0,89.0,113.0,7.617977528089887,-1.2304011350107689,-0.3891046473752171,-0.8412964876355518,-0.6971144762501107,Auction
Adam Milne,Mumbai Indians,2021,Bowler,Overseas,32000000.0,16.0,19.0,3.0,87.0,131.0,9.03448275862069,-1.2971859510182226,0.4013171839028704,-1.698503134921093,-1.4074124172768665,Auction
Adam Zampa,Rising Pune Supergiant,2016,Bowler,Overseas,3000000.0,0.0,1.0,12.0,103.0,115.0,6.699029126213592,0.6047648318412551,-0.3891046473752171,0.9938694792164722,0.8235393962147379,Auction
Aditya Tare,Mumbai Indians,2014,Wicket Keeper,Indian,16000000.0,126.0,102.0,0.0,0.0,0.0,,0.2776767603520438,0.16986384511961994,0.10781291523242387,0.0893358584516133,Auction
Aiden Markram,Sunrisers Hyderabad,2022,Batsman,Overseas,26000000.0,381.0,277.0,1.0,36.0,64.0,10.666666666666666,1.1693367060382296,0.3319829564997745,0.8373537495384551,0.6938474475106078,Auction
Ajinkya Rahane,Rajasthan Royals,2018,Batsman,Indian,40000000.0,370.0,321.0,0.0,0.0,0.0,,2.113403732604685,0.4758285163126805,1.6375752162920043,1.3569263701955365,Auction
Ajinkya Rahane,Kolkata Knight Riders,2022,Batsman,Indian,10000000.0,133.0,131.0,0.0,0.0,0.0,,0.3303410587363409,0.012921838746182246,0.31741921999015865,0.2630196803947856,Auction
Akash Deep,Royal Challengers Bangalore,2022,Bowler,Indian,2000000.0,0.0,2.0,5.0,119.0,205.0,10.336134453781513,-1.4388962826119684,-0.5244961712301279,-0.9144001113818405,-0.757689547142307,Auction
Akash Singh,Rajasthan Royals,2020,Bowler,Indian,2000000.0,0.0,3.0,9.0,158.0,218.0,8.278481012658228,-0.5084266690217326,-0.5244961712301279,0.016069502208395314,0.013315499090088464,Auction
Harbhajan Singh,Kolkata Knight Riders,2021,Bowler,Indian,20000000.0,4.0,4.0,0.0,45.0,63.0,8.4,-0.6401867257742768,0.24437517752943094,-0.8845619033037078,-0.7329650331304999,Auction
Akshar Rajesh Patel,Kings XI Punjab,2014,All-Rounder,Indian,7500000.0,62.0,61.0,17.0,403.0,405.0,6.029776674937965,2.4713831236998764,-0.0831399761821574,2.554523099882034,2.1167270504694082,Auction
Harshal Patel,Royal Challengers Bangalore,2014,Bowler,Indian,4000000.0,13.0,7.0,4.0,71.0,113.0,9.549295774647886,-1.286259871610115,-0.29304283244687834,-0.9932170391632367,-0.8229987718181297,Auction
Parthiv Patel,Royal Challengers Bangalore,2014,Wicket Keeper,Indian,14000000.0,205.0,191.0,0.0,0.0,0.0,,0.8720309849748251,0.12527549862969334,0.7467554863451318,0.6187759813587806,Auction
Akshdeep Nath,Royal Challengers Bangalore,2019,All-Rounder,Indian,36000000.0,61.0,58.0,0.0,0.0,0.0,,-0.2113488675021434,0.4406468928294407,-0.6519957603315841,-0.540256246948389,Auction
Morne Morkel,Kolkata Knight Riders,2014,Bowler,Overseas,28000000.0,4.0,4.0,12.0,305.0,367.0,7.219672131147541,0.40393670561324124,0.3567288374129438,0.04720786820029743,0.03911734899527024,Auction
Alzarri Joseph,Gujarat Titans,2022,Bowler,Overseas,24000000.0,5.0,7.0,7.0,185.0,264.0,8.562162162162162,-0.8193076806432603,0.30525536897453076,-1.124563049617791,-0.9318346063084234,Auction
Aman Khan,Kolkata Knight Riders,2022,All-Rounder,Indian,2000000.0,22.0,13.0,18.0,300.0,416.0,8.32,0.867427699379223,-0.5244961712301279,1.391923870609351,1.1533749329763172,Auction
Avesh Khan,Lucknow Super Giants,2022,Bowler,Indian,100000000.0,22.0,13.0,18.0,300.0,416.0,8.32,0.867427699379223,0.7817931875057411,0.08563451187348192,0.07095840618732886,Auction
Mohd. Arshad Khan,Mumbai Indians,2022,All-Rounder,Indian,2000000.0,23.0,19.0,14.0,206.0,197.0,5.737864077669903,1.6670224218356555,-0.5244961712301279,2.1915185930657834,1.8159345232631572,Auction
Mohsin Khan,Lucknow Super Giants,2022,Bowler,Indian,2000000.0,23.0,19.0,14.0,206.0,197.0,5.737864077669903,1.6670224218356555,-0.5244961712301279,2.1915185930657834,1.8159345232631572,Auction
Sarfaraz Khan,Delhi Capitals,2022,All-Rounder,Indian,2000000.0,91.0,69.0,0.0,0.0,0.0,,0.014355268430558387,-0.5244961712301279,0.5388514396606863,0.4465026832471516,Auction
Shahrukh Khan,Punjab Kings,2022,All-Rounder,Indian,90000000.0,91.0,69.0,0.0,0.0,0.0,,0.014355268430558387,0.7466115640225013,-0.7322562955919429,-0.606761672590694,Auction
Ambati Rayudu,Chennai Super Kings,2018,Wicket Keeper,Indian,22000000.0,602.0,410.0,0.0,0.0,0.0,,3.8588490504842454,0.2762008271958152,3.5826482232884302,2.9686513333549365,Auction
Ambati Rayudu,Chennai Super Kings,2022,Wicket Keeper,Indian,67500000.0,274.0,230.0,0.0,0.0,0.0,,1.3911504976200393,0.6505497490941625,0.7406007485258768,0.6136760470379027,Auction
Amit Mishra,Rajasthan Royals,2014,Bowler,Indian,1000000.0,4.0,7.0,7.0,230.0,340.0,8.869565217391305,-0.90636468333307,-0.7559495100133775,-0.15041517331969245,-0.12463691018552128,Auction
Amit Mishra,Delhi Daredevils,2015,Bowler,Indian,35000000.0,8.0,13.0,9.0,249.0,310.0,7.469879518072289,-0.179258213816415,0.4312401698227539,-0.6104983836391689,-0.5058707212225068,Auction
Amit Mishra,Gujarat Lions,2016,Bowler,Indian,1000000.0,4.0,14.0,13.0,284.0,344.0,7.267605633802816,0.5575908097594384,-0.7559495100133775,1.313540319772816,1.0884248127855074,Auction
Amit Mishra,Delhi Daredevils,2018,Bowler,Indian,40000000.0,1.0,2.0,12.0,226.0,264.0,7.008849557522124,0.47487292172292317,0.4758285163126805,-0.0009555945897573581,-0.0007918240854874601,Auction
Andre Russell,Kolkata Knight Riders,2014,All-Rounder,Overseas,6000000.0,2.0,8.0,1.0,31.0,52.0,10.064516129032258,-1.6598027747581918,-0.15765130859196752,-1.5021514661662243,-1.2447116420607673,Auction
Andrew Tye,Kings XI Punjab,2018,Bowler,Overseas,72000000.0,32.0,40.0,24.0,353.0,448.0,7.614730878186968,2.384381249407168,0.6721002316126912,1.712281017794477,1.418829036440592,Auction
Angelo Mathews,Delhi Daredevils,2015,All-Rounder,Overseas,75000000.0,144.0,109.0,7.0,185.0,246.0,7.978378378378379,0.3774955591371716,0.6857313725774015,-0.3082358134402299,-0.25541013281990105,Auction
Angelo Mathews,Delhi Daredevils,2017,All-Rounder,Overseas,20000000.0,32.0,28.0,0.0,31.0,56.0,10.838709677419354,-0.42952953223708845,0.24437517752943094,-0.6739047097665194,-0.558410424500526,Auction
Aniket Choudhary,Royal Challengers Bangalore,2017,Bowler,Indian,20000000.0,25.0,20.0,5.0,108.0,144.0,8.0,-0.8190798426084562,0.24437517752943094,-1.0634550201378872,-0.8811993159064819,Auction
Ankit Nagendra Sharma,Rajasthan Royals,2014,Bowler,Indian,1000000.0,34.0,31.0,4.0,48.0,43.0,5.375,-0.5111219168962025,-0.7559495100133775,0.24482759311717506,0.20286885997483245,Auction
Ishant Sharma,Sunrisers Hyderabad,2014,Bowler,Indian,26000000.0,0.0,0.0,3.0,68.0,101.0,8.911764705882353,-1.4039541338661379,0.3319829564997745,-1.7359370903659124,-1.4384309138799212,Auction
Karn Sharma,Sunrisers Hyderabad,2014,Bowler,Indian,37500000.0,42.0,30.0,15.0,307.0,376.0,7.348534201954398,1.1484429942468837,0.45427803379415277,0.6941649604527309,0.5751984585092135,Auction
Mohit Sharma,Chennai Super Kings,2014,Bowler,Indian,20000000.0,1.0,3.0,23.0,324.0,452.0,8.37037037037037,1.3466976918032603,0.24437517752943094,1.1023225142738293,0.9134056702844522,Auction
Rahul Sharma,Delhi Daredevils,2014,Bowler,Indian,19000000.0,390.0,307.0,1.0,18.0,26.0,8.666666666666666,1.31097000372033,0.22724749588236737,1.0837225078379626,0.8979933466442697,Auction
Sandeep Sharma,Kings XI Punjab,2014,Bowler,Indian,8500000.0,2.0,5.0,18.0,255.0,354.0,8.329411764705883,0.7106966423688356,-0.04134592703676887,0.7520425694056044,0.623156960232175,Auction
