Player,Role,Amount,Team,Year,Player Origin,year,first_initial,surname,name,runs,balls_faced,wickets,balls_bowled,runs_conceded,economy,initials,performance,expected_performance,value_residual,z
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014.0,Overseas,2014,A,finch,AJ Finch,309.0,268.0,0.0,0.0,0.0,,AJ,1.6544719895415247,0.4758285163126805,1.1786434732288442,0.976646687108808
Aaron Finch,Batsman,32000000,Mumbai Indians,2015.0,Overseas,2015,A,finch,AJ Finch,23.0,33.0,0.0,0.0,0.0,,AJ,-0.497240773016899,0.4013171839028704,-0.8985579569197695,-0.7445624327744123
Aaron Finch,Batsman,10000000,Gujarat Lions,2016.0,Overseas,2016,A,finch,AJ Finch,393.0,311.0,0.0,0.0,0.0,,AJ,2.2864435701530894,0.012921838746182246,2.273521731406907,1.8838839033873993
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018.0,Overseas,2018,A,finch,AJ Finch,134.0,102.0,0.0,0.0,0.0,,AJ,0.3378645299340976,0.6221691057965701,-0.28430457586247254,-0.23558024835559996
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020.0,Overseas,2020,A,finch,AJ Finch,268.0,254.0,0.0,0.0,0.0,,AJ,1.346009670433499,0.5076541659790648,0.8383555044544342,0.6946775209316277
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,2020,A,samad,Abdul Samad,113.0,68.0,1.0,43.0,96.0,13.395348837209301,Abdul,-0.8962349462287662,-0.5244961712301279,-0.3717387749986383,-0.30802991007766367
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013.0,Indian,2013,A,nayar,AM Nayar,66.0,74.0,2.0,50.0,59.0,7.079999999999999,AM,-0.8861415725640646,0.5544879341658246,-1.440629506729889,-1.1937333613230492
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014.0,Indian,2014,A,nayar,AM Nayar,43.0,50.0,0.0,0.0,0.0,,AM,-0.3467713490617645,0.012921838746182246,-0.35969318780794673,-0.29804870448727305
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018.0,Indian,2018,A,sharma,Abhishek Sharma,63.0,35.0,0.0,0.0,0.0,,Abhishek,-0.19630192510662994,-0.186705850370684,-0.009596074735945953,-0.00795149238338849
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,2018,A,sharma,Abhishek Sharma,63.0,35.0,0.0,0.0,0.0,,Abhishek,-0.19630192510662994,-0.5244961712301279,0.328194246123498,0.27194807461717785
