player,status,price_crore,innings,performance,expected_performance,value_residual
Player_000,capped_squad,2.62,10,58.1,49.9372820935784,8.16
Player_001,capped_squad,3.19,13,61.4,50.26134565483892,11.14
Player_002,capped_squad,2.89,9,56.7,50.09875230497519,6.6
Player_003,uncapped,1.03,7,24.7,48.40029455957127,-23.7
Player_004,capped_squad,1.95,8,58.1,49.45106320427263,8.65
Player_005,capped_squad,1.89,6,34.5,49.39961293489222,-14.9
Player_006,capped_squad,6.62,13,53.5,51.46324870242611,2.04
Player_007,uncapped,0.74,5,28.6,47.855930979333344,-19.26
Player_008,capped_squad,3.63,12,56.7,50.47406364980411,6.23
Player_009,uncapped,0.73,8,37.9,47.83353233957867,-9.93
Player_010,capped_squad,3.3,6,30.8,50.31715691915725,-19.52
Player_011,uncapped,0.48,4,60.7,47.143317823980965,13.56
Player_012,uncapped,0.96,8,53.6,48.28442843967844,5.32
Player_013,capped_squad,5.38,9,40.8,51.12179982794921,-10.32
Player_014,uncapped,0.61,7,71.8,47.537885160942125,24.26
Player_015,uncapped,0.25,6,43.4,46.0694114220601,-2.67
Player_016,capped_squad,4.32,10,50.5,50.76055289409163,-0.26
Player_017,marquee,22.9,15,65.0,53.5063439010087,11.49
Player_018,uncapped,0.74,8,40.7,47.855930979333344,-7.16
Player_019,uncapped,0.82,5,57.1,48.024927908454195,9.08
Player_020,capped_squad,6.62,10,42.0,51.46324870242611,-9.46
Player_021,capped_squad,5.68,14,43.8,51.211131395149934,-7.41
Player_022,capped_squad,3.88,7,70.4,50.583709664428525,19.82
Player_023,uncapped,0.49,6,34.4,47.17726283331672,-12.78
Player_024,uncapped,0.94,3,13.8,48.249768746317415,-34.45
Player_025,uncapped,0.94,8,74.2,48.249768746317415,25.95
Player_026,uncapped,1.11,5,88.2,48.5234378986912,39.68
Player_027,marquee,9.92,15,52.5,52.12909690665485,0.37
Player_028,uncapped,1.04,7,20.9,48.41620071834754,-27.52
Player_029,capped_squad,3.26,8,45.3,50.297080150501216,-5.0
Player_030,capped_squad,6.92,7,45.7,51.53621225185107,-5.84
Player_031,capped_squad,5.31,8,47.2,51.10023932823217,-3.9
Player_032,uncapped,1.05,4,33.3,48.43195466274374,-15.13
Player_033,capped_squad,6.71,14,58.7,51.48547930524866,7.21
Player_034,capped_squad,1.71,14,57.9,49.23484807655025,8.67
Player_035,capped_squad,6.1,6,27.6,51.32857257460179,-23.73
Player_036,uncapped,0.61,7,60.5,47.537885160942125,12.96
Player_037,uncapped,1.22,1,80.8,48.6789957766396,32.12
Player_038,capped_squad,4.82,11,52.6,50.940850464244576,1.66
Player_039,capped_squad,1.73,8,44.9,49.25399102045611,-4.35
Player_040,uncapped,0.91,1,47.9,48.196371374845604,-0.3
Player_041,capped_squad,4.53,7,59.2,50.838695849949836,8.36
Player_042,capped_squad,5.12,8,24.0,51.04025336741302,-27.04
Player_043,capped_squad,1.07,7,52.5,48.46301736969215,4.04
Player_044,uncapped,0.76,5,44.1,47.89983423783454,-3.8
Player_045,capped_squad,3.73,10,77.7,50.51880212647032,27.18
Player_046,uncapped,1.01,6,47.4,48.36801363066264,-0.97
Player_047,capped_squad,5.95,14,75.0,51.287584367108145,23.71
Player_048,capped_squad,2.77,11,33.4,50.0289351448467,-16.63
Player_049,uncapped,0.67,7,58.8,47.692336597134805,11.11
Player_050,uncapped,0.87,4,54.8,48.122369045587725,6.68
Player_051,marquee,9.87,15,42.5,52.12077816926577,-9.62
Player_052,capped_squad,3.75,12,52.7,50.52760575507762,2.17
Player_053,capped_squad,3.65,10,68.2,50.48310913754086,17.72
Player_054,capped_squad,2.81,6,45.1,50.052538052748794,-4.95
Player_055,capped_squad,6.51,6,24.6,51.43566386681329,-26.84
Player_056,capped_squad,5.69,8,49.7,51.21402721757888,-1.51
Player_057,capped_squad,1.66,8,36.5,49.18599361243319,-12.69
Player_058,uncapped,1.16,6,44.9,48.59597274192735,-3.7
Player_059,uncapped,1.35,5,48.8,48.84568722926391,-0.05
Player_060,capped_squad,6.98,13,24.4,51.550424782941136,-27.15
Player_061,capped_squad,6.28,13,25.8,51.376448231578,-25.58
Player_062,uncapped,1.4,8,57.2,48.905558359083365,8.29
Player_063,capped_squad,2.7,13,42.2,49.98679784496139,-7.79
Player_064,capped_squad,6.02,11,11.5,51.30683926059933,-39.81
Player_065,capped_squad,1.64,11,61.8,49.16603852415167,12.63
Player_066,capped_squad,6.99,11,54.1,51.55278165467708,2.55
Player_067,capped_squad,4.99,9,39.3,50.99791360521859,-11.7
Player_068,marquee,9.4,13,25.3,52.04045615997708,-26.74
Player_069,capped_squad,4.9,12,62.5,50.967950246976386,11.53
Player_070,capped_squad,1.54,13,55.2,49.062465089730225,6.14
Player_071,capped_squad,6.38,12,85.7,51.4024562705364,34.3
Player_072,capped_squad,1.17,11,56.3,48.61010394136577,7.69
Player_073,uncapped,0.85,6,55.8,48.084081863517646,7.72
Player_074,marquee,18.53,11,53.7,53.157752047555675,0.54
Player_075,capped_squad,2.44,6,62.3,49.82010639233708,12.48
Player_076,capped_squad,1.86,12,59.4,49.37327197892027,10.03
Player_077,uncapped,0.88,4,68.8,48.14118381753468,20.66
Player_078,uncapped,1.24,8,42.2,48.70576505956242,-6.51
Player_079,capped_squad,5.66,9,43.5,51.205324423956625,-7.71
Player_080,uncapped,0.61,1,42.8,47.537885160942125,-4.74
Player_081,capped_squad,2.19,12,61.9,49.642149874634,12.26
Player_082,uncapped,1.29,8,72.5,48.77084367636669,23.73
Player_083,uncapped,0.84,2,43.1,48.06459909617651,-4.96
Player_084,marquee,14.7,15,42.7,52.77656778203172,-10.08
Player_085,uncapped,0.35,3,54.7,46.62333712768841,8.08
Player_086,uncapped,0.29,7,46.3,46.31375151053239,-0.01
Player_087,uncapped,1.29,6,64.3,48.77084367636669,15.53
Player_088,uncapped,0.27,8,16.2,46.19611043130172,-30.0
Player_089,uncapped,0.56,6,37.6,47.39709217681865,-9.8
Player_090,uncapped,0.63,6,38.3,47.590995399836885,-9.29
Player_091,uncapped,0.42,3,15.2,46.92348848047903,-31.72
Player_092,uncapped,0.61,1,35.5,47.537885160942125,-12.04
Player_093,capped_squad,6.46,10,36.3,51.422970861556806,-15.12
Player_094,capped_squad,4.94,13,47.0,50.98133466725645,-3.98
Player_095,capped_squad,1.22,9,66.7,48.6789957766396,18.02
Player_096,uncapped,1.17,1,46.3,48.61010394136577,-2.31
Player_097,capped_squad,1.03,14,34.5,48.40029455957127,-13.9
Player_098,capped_squad,1.31,13,49.1,48.796171477880925,0.3
Player_099,capped_squad,4.64,8,65.7,50.878193973322304,14.82
Player_100,uncapped,0.22,3,35.4,45.858962586139725,-10.46
